,area_type,location,total_sqft,bath,balcony,price,bhk
4715,Super built-up  Area,Kudlu,1041.0,2.0,1.0,53.0,2
4716,Super built-up  Area,Kudlu Gate,1535.0,3.0,2.0,83.0,3
4717,Super built-up  Area,Kudlu Gate,1535.0,3.0,2.0,85.0,3
4719,Super built-up  Area,Kudlu Gate,1535.0,3.0,2.0,86.0,3
4720,Super built-up  Area,Kudlu Gate,1564.0,2.0,1.0,92.0,3
4722,Super built-up  Area,Kudlu Gate,1238.0,2.0,3.0,55.0,2
4723,Super built-up  Area,Kudlu Gate,1707.0,2.0,2.0,99.745,3
4724,Built-up  Area,Kudlu Gate,1335.0,3.0,2.0,89.0,3
4725,Super built-up  Area,Kudlu Gate,703.0,1.0,1.0,52.0,1
4726,Super built-up  Area,Kudlu Gate,1535.0,3.0,2.0,86.0,3
4727,Super built-up  Area,Kudlu Gate,1532.0,3.0,2.0,83.0,3
4728,Super built-up  Area,Kudlu Gate,1113.0,2.0,1.0,50.0,2
4730,Super built-up  Area,Kudlu Gate,1185.0,2.0,1.0,50.0,2
4734,Super built-up  Area,Kudlu Gate,1215.0,2.0,1.0,45.0,2
4735,Built-up  Area,Kudlu Gate,812.0,2.0,1.0,38.25,2
4736,Super built-up  Area,Kudlu Gate,1547.0,2.0,2.0,103.0,2
4737,Built-up  Area,Kudlu Gate,1336.0,2.0,1.0,86.0,2
4738,Built-up  Area,Kudlu Gate,1919.0,3.0,2.0,121.0,3
4739,Super built-up  Area,Kudlu Gate,1464.0,3.0,3.0,56.0,2
4740,Super built-up  Area,Kudlu Gate,1535.0,3.0,2.0,85.0,3
4741,Super built-up  Area,Kudlu Gate,1850.0,3.0,2.0,120.0,3
4742,Super built-up  Area,Kudlu Gate,940.0,2.0,1.0,69.57,2
4743,Super built-up  Area,Kudlu Gate,1215.0,2.0,1.0,44.96,2
4744,Built-up  Area,Kudlu Gate,1164.0,2.0,2.0,75.0,2
4745,Built-up  Area,Kudlu Gate,3850.0,6.0,0.0,205.0,4
4746,Super built-up  Area,Kudlu Gate,1183.0,2.0,1.0,79.54,2
4747,Super built-up  Area,Kudlu Gate,1850.0,3.0,2.0,110.0,3
4749,Super built-up  Area,Kudlu Gate,1183.0,2.0,1.0,79.54,2
4750,Super built-up  Area,Kudlu Gate,1200.0,2.0,1.0,44.4,2
4752,Built-up  Area,Kudlu Gate,1310.0,2.0,2.0,53.0,2
4753,Plot  Area,Kumaraswami Layout,2000.0,4.0,1.0,139.0,4
4754,Super built-up  Area,Kumaraswami Layout,1000.0,2.0,1.0,48.5,2
4755,Super built-up  Area,Kumaraswami Layout,1000.0,2.0,1.0,58.0,2
4756,Built-up  Area,Kumaraswami Layout,2400.0,7.0,1.0,125.0,7
4757,Built-up  Area,Kumaraswami Layout,2400.0,2.0,1.0,125.0,3
4758,Built-up  Area,Kumaraswami Layout,1310.0,2.0,1.0,70.0,3
4759,Built-up  Area,Kumaraswami Layout,850.0,1.0,1.0,78.0,1
4760,Built-up  Area,Kumaraswami Layout,3200.0,7.0,0.0,150.0,7
4761,Built-up  Area,Kumaraswami Layout,1310.0,2.0,1.0,85.0,3
4762,Built-up  Area,Kumaraswami Layout,2450.0,3.0,2.0,110.0,4
4763,Built-up  Area,Kumaraswami Layout,3100.0,7.0,3.0,145.0,7
4764,Built-up  Area,Kumaraswami Layout,1200.0,3.0,1.0,75.0,3
4765,Super built-up  Area,Kumaraswami Layout,1081.0,2.0,3.0,60.0,2
4766,Super built-up  Area,Kundalahalli,1724.0,3.0,2.0,125.0,3
4767,Built-up  Area,Kundalahalli,1030.0,2.0,2.0,49.0,2
4768,Super built-up  Area,Kundalahalli,735.0,2.0,1.0,57.99,2
4769,Built-up  Area,Kundalahalli,1047.0,2.0,1.0,82.0,2
4770,Super built-up  Area,Kundalahalli,1397.0,3.0,3.0,105.0,3
4771,Super built-up  Area,Kundalahalli,1724.0,3.0,2.0,127.0,3
4772,Super built-up  Area,Kundalahalli,1010.0,2.0,1.0,49.27,2
4773,Super built-up  Area,Kundalahalli,1397.0,3.0,2.0,110.0,3
4774,Super built-up  Area,Kundalahalli,1397.0,3.0,2.0,104.0,3
4775,Super built-up  Area,Kundalahalli,1397.0,3.0,3.0,108.0,3
4776,Super built-up  Area,Kundalahalli,1920.0,3.0,2.0,150.0,3
4777,Super built-up  Area,Kundalahalli,1397.0,3.0,3.0,105.0,3
4779,Super built-up  Area,Kundalahalli,1724.0,3.0,2.0,124.0,3
4780,Super built-up  Area,Kundalahalli,1047.0,2.0,1.0,84.0,2
4781,Super built-up  Area,Kundalahalli,1047.0,2.0,1.0,83.0,2
4782,Plot  Area,Kundalahalli,7000.0,4.0,3.0,550.0,4
4784,Super built-up  Area,Kundalahalli,1120.0,2.0,1.0,53.76,2
4785,Super built-up  Area,Kundalahalli,1047.0,2.0,1.0,82.62,2
4786,Super built-up  Area,Kundalahalli,1047.0,2.0,1.0,91.0,2
4787,Super built-up  Area,Kundalahalli,1724.0,3.0,1.0,146.0,3
4788,Plot  Area,Kundalahalli,1600.0,3.0,2.0,170.0,3
4790,Super built-up  Area,Kundalahalli,1724.0,3.0,1.0,125.0,3
4791,Super built-up  Area,Kundalahalli,1010.0,2.0,1.0,48.27,2
4792,Super built-up  Area,Kundalahalli,1047.0,2.0,1.0,89.0,2
4793,Plot  Area,Kundalahalli,2500.0,5.0,2.0,245.0,4
4794,Super built-up  Area,Kundalahalli,1397.0,3.0,3.0,105.0,3
4796,Super built-up  Area,Kundalahalli,1047.0,2.0,1.0,72.0,2
4797,Built-up  Area,Kundalahalli,1260.0,2.0,0.0,58.0,2
4798,Built-up  Area,Kundalahalli,3092.0,4.0,3.0,230.0,4
4799,Built-up  Area,Kundalahalli,1065.0,2.0,1.0,70.0,2
4800,Super built-up  Area,Kundalahalli,1724.0,3.0,1.0,146.0,3
4801,Super built-up  Area,Kundalahalli,1047.0,2.0,2.0,91.0,2
4802,Super built-up  Area,Kundalahalli,1724.0,3.0,2.0,128.0,3
4803,Super built-up  Area,Kundalahalli,1315.0,2.0,3.0,74.0,2
4804,Built-up  Area,Kundalahalli,2100.0,3.0,2.0,150.0,3
4805,Super built-up  Area,Kundalahalli,1724.0,3.0,1.0,125.0,3
4806,Super built-up  Area,Kundalahalli,1724.0,3.0,3.0,140.0,3
4807,Super built-up  Area,Kundalahalli,1175.0,2.0,1.0,65.0,2
4809,Carpet  Area,LB Shastri Nagar,1043.0,2.0,2.0,55.0,2
4810,Built-up  Area,LB Shastri Nagar,1184.0,2.0,1.0,69.0,2
4811,Super built-up  Area,LB Shastri Nagar,665.0,1.0,2.0,32.0,1
4812,Super built-up  Area,LB Shastri Nagar,1250.0,2.0,2.0,48.5,2
4813,Super built-up  Area,LB Shastri Nagar,1400.0,2.0,2.0,80.0,3
4814,Super built-up  Area,LB Shastri Nagar,1184.0,2.0,1.0,62.0,2
4815,Super built-up  Area,LB Shastri Nagar,1200.0,2.0,1.0,47.0,2
4816,Built-up  Area,LB Shastri Nagar,1200.0,2.0,1.0,75.0,2
4817,Super built-up  Area,LB Shastri Nagar,1000.0,2.0,1.0,49.5,2
4818,Plot  Area,Laggere,2800.0,5.0,2.0,125.0,5
4819,Plot  Area,Laggere,1200.0,3.0,1.0,130.0,3
4820,Plot  Area,Laggere,1200.0,1.0,1.0,125.0,1
4821,Plot  Area,Laggere,1200.0,2.0,0.0,75.0,2
4822,Built-up  Area,Laggere,620.0,2.0,0.0,48.0,1
4823,Super built-up  Area,Lakshminarayana Pura,1185.0,2.0,2.0,75.0,2
4824,Super built-up  Area,Lakshminarayana Pura,1600.0,2.0,1.0,108.0,3
4825,Built-up  Area,Lakshminarayana Pura,1180.0,2.0,2.0,75.0,2
4826,Super built-up  Area,Lakshminarayana Pura,1172.0,2.0,2.0,82.0,2
4827,Built-up  Area,Lakshminarayana Pura,1179.0,2.0,1.0,75.0,2
4828,Super built-up  Area,Lakshminarayana Pura,1149.0,2.0,1.0,75.0,2
4829,Super built-up  Area,Lakshminarayana Pura,1336.0,2.0,2.0,100.0,2
4830,Super built-up  Area,Lakshminarayana Pura,1175.0,2.0,2.0,75.0,2
4831,Super built-up  Area,Lakshminarayana Pura,1190.0,2.0,1.0,75.0,2
4832,Super built-up  Area,Lakshminarayana Pura,1200.0,2.0,1.0,75.0,2
4833,Super built-up  Area,Lakshminarayana Pura,1200.0,2.0,2.0,75.0,2
4834,Built-up  Area,Lakshminarayana Pura,1165.0,2.0,2.0,75.0,2
4835,Super built-up  Area,Lakshminarayana Pura,1145.0,2.0,1.0,75.0,2
4836,Super built-up  Area,Lakshminarayana Pura,1500.0,3.0,2.0,104.0,3
4837,Super built-up  Area,Lakshminarayana Pura,1210.0,2.0,2.0,75.0,2
4838,Built-up  Area,Lakshminarayana Pura,1169.0,2.0,2.0,75.0,2
4839,Built-up  Area,Lakshminarayana Pura,1200.0,2.0,1.0,75.0,2
4840,Built-up  Area,Lakshminarayana Pura,1172.0,2.0,1.0,75.0,2
4841,Super built-up  Area,Lakshminarayana Pura,1172.0,2.0,2.0,75.0,2
4842,Super built-up  Area,Lakshminarayana Pura,1180.0,2.0,1.0,75.0,2
4843,Super built-up  Area,Lakshminarayana Pura,1200.0,2.0,3.0,83.0,2
4844,Super built-up  Area,Lakshminarayana Pura,1200.0,2.0,2.0,80.0,2
4845,Built-up  Area,Lakshminarayana Pura,1195.0,2.0,1.0,75.0,2
4846,Built-up  Area,Lakshminarayana Pura,1200.0,2.0,1.0,80.0,2
4847,Super built-up  Area,Lingadheeranahalli,1521.0,3.0,1.0,95.0,3
4848,Super built-up  Area,Lingadheeranahalli,1511.0,3.0,1.0,95.0,3
4849,Super built-up  Area,Lingadheeranahalli,1683.0,3.0,1.0,109.0,3
4850,Super built-up  Area,Lingadheeranahalli,1519.0,3.0,1.0,93.0,3
4851,Super built-up  Area,Lingadheeranahalli,1521.0,3.0,1.0,94.99,3
4852,Super built-up  Area,Lingadheeranahalli,1682.0,3.0,1.0,120.0,3
4853,Super built-up  Area,Lingadheeranahalli,1521.0,3.0,1.0,94.71,3
4854,Super built-up  Area,Lingadheeranahalli,1893.0,3.0,1.0,130.0,3
4855,Super built-up  Area,Lingadheeranahalli,1705.0,3.0,1.0,110.0,3
4856,Super built-up  Area,Lingadheeranahalli,2245.0,4.0,2.0,154.0,4
4857,Super built-up  Area,Lingadheeranahalli,1682.0,3.0,1.0,113.0,3
4858,Super built-up  Area,Lingadheeranahalli,1682.0,3.0,1.0,114.0,3
4859,Super built-up  Area,Lingadheeranahalli,1506.0,3.0,1.0,95.0,3
4860,Super built-up  Area,Lingadheeranahalli,1683.0,3.0,1.0,110.0,3
4861,Super built-up  Area,Lingadheeranahalli,1684.0,3.0,1.0,120.0,3
4862,Super built-up  Area,Lingadheeranahalli,2236.0,4.0,2.0,153.0,4
4863,Super built-up  Area,Lingadheeranahalli,1894.0,4.0,1.0,114.0,3
4864,Super built-up  Area,Lingadheeranahalli,2240.0,4.0,2.0,160.0,4
4865,Built-up  Area,Magadi Road,3600.0,6.0,0.0,141.0,6
4866,Super built-up  Area,Magadi Road,1116.0,2.0,1.0,50.0,2
4868,Super built-up  Area,Magadi Road,884.0,2.0,1.0,41.1,2
4869,Super built-up  Area,Magadi Road,1005.0,2.0,1.0,55.78,2
4870,Super built-up  Area,Magadi Road,1000.0,2.0,0.0,46.5,2
4871,Plot  Area,Magadi Road,1500.0,2.0,2.0,93.0,4
4873,Built-up  Area,Magadi Road,1345.0,2.0,2.0,55.0,2
4875,Plot  Area,Magadi Road,5000.0,6.0,1.0,360.0,5
4876,Super built-up  Area,Magadi Road,1116.0,2.0,1.0,51.89,2
4877,Super built-up  Area,Magadi Road,1052.0,2.0,1.0,60.0,3
4878,Super built-up  Area,Magadi Road,940.0,2.0,2.0,50.0,2
4879,Super built-up  Area,Magadi Road,1318.0,2.0,1.0,68.0,3
4881,Super built-up  Area,Magadi Road,884.0,2.0,1.0,48.0,2
4883,Super built-up  Area,Mahadevpura,1150.0,2.0,3.0,52.0,2
4884,Super built-up  Area,Mahadevpura,1250.0,2.0,3.0,52.0,2
4885,Super built-up  Area,Mahadevpura,1260.0,2.0,3.0,57.6,2
4886,Super built-up  Area,Mahadevpura,730.0,1.0,1.0,35.0,1
4887,Super built-up  Area,Mahadevpura,1434.0,2.0,1.0,67.39,3
4888,Super built-up  Area,Mahadevpura,1146.0,2.0,1.0,53.8,2
4889,Super built-up  Area,Mahadevpura,1532.0,2.0,2.0,62.0,2
4890,Super built-up  Area,Mahadevpura,1620.0,2.0,1.0,76.0,3
4891,Super built-up  Area,Mahadevpura,1136.0,2.0,3.0,64.5,2
4892,Super built-up  Area,Mahadevpura,1400.0,2.0,2.0,65.8,3
4893,Super built-up  Area,Mahadevpura,1137.0,2.0,1.0,53.4,2
4894,Super built-up  Area,Mahadevpura,1601.0,3.0,2.0,95.0,3
4895,Super built-up  Area,Mahadevpura,1450.0,3.0,2.0,75.0,3
4896,Super built-up  Area,Mahadevpura,1152.0,2.0,1.0,54.0,2
4897,Super built-up  Area,Mahadevpura,1212.0,2.0,1.0,56.9,2
4899,Super built-up  Area,Mahadevpura,1505.0,3.0,2.0,78.0,3
4900,Super built-up  Area,Mahadevpura,1500.0,2.0,1.0,70.0,3
4901,Super built-up  Area,Mahadevpura,1236.0,2.0,1.0,58.0,2
4902,Super built-up  Area,Mahadevpura,1236.0,2.0,1.0,58.0,2
4903,Super built-up  Area,Mahadevpura,1120.0,2.0,2.0,53.0,2
4904,Plot  Area,Mahalakshmi Layout,1575.0,5.0,1.0,158.0,4
4905,Super built-up  Area,Mahalakshmi Layout,1105.0,2.0,1.0,80.0,2
4906,Plot  Area,Mahalakshmi Layout,1200.0,3.0,1.0,160.0,4
4907,Super built-up  Area,Mahalakshmi Layout,1200.0,2.0,3.0,110.0,3
4908,Super built-up  Area,Mahalakshmi Layout,1876.0,3.0,1.0,150.0,3
4909,Super built-up  Area,Mallasandra,1665.0,3.0,2.0,95.0,3
4910,Super built-up  Area,Mallasandra,1665.0,3.0,2.0,86.58,3
4911,Super built-up  Area,Mallasandra,1340.0,2.0,2.0,61.0,2
4912,Super built-up  Area,Mallasandra,1325.0,2.0,2.0,70.0,2
4913,Super built-up  Area,Mallasandra,1665.0,3.0,2.0,86.91,3
4914,Super built-up  Area,Mallasandra,1325.0,2.0,1.0,70.0,2
4915,Super built-up  Area,Mallasandra,905.0,2.0,1.0,40.0,2
4916,Super built-up  Area,Mallasandra,1325.0,2.0,2.0,65.0,2
4917,Built-up  Area,Mallasandra,1325.0,2.0,2.0,73.0,2
4918,Super built-up  Area,Mallasandra,1565.0,2.0,2.0,69.0,2
4919,Super built-up  Area,Mallasandra,905.0,2.0,1.0,35.0,2
4921,Built-up  Area,Mallasandra,1100.0,2.0,3.0,76.3,3
4922,Super built-up  Area,Malleshpalya,1140.0,2.0,2.0,46.5,2
4923,Super built-up  Area,Malleshpalya,1225.0,2.0,2.0,46.86,2
4925,Super built-up  Area,Malleshpalya,1052.0,2.0,2.0,50.0,2
4926,Built-up  Area,Malleshpalya,1405.0,2.0,2.0,77.0,3
4927,Super built-up  Area,Malleshpalya,1065.0,2.0,2.0,50.0,2
4928,Super built-up  Area,Malleshpalya,1210.0,2.0,3.0,55.0,2
4930,Super built-up  Area,Malleshpalya,1060.0,2.0,1.0,40.0,2
4931,Super built-up  Area,Malleshpalya,1430.0,2.0,1.0,69.5,3
4932,Built-up  Area,Malleshpalya,1421.0,2.0,1.0,90.0,2
4933,Super built-up  Area,Malleshpalya,1245.0,2.0,1.0,55.0,2
4934,Super built-up  Area,Malleshpalya,1200.0,2.0,2.0,46.0,2
4935,Super built-up  Area,Malleshpalya,1225.0,2.0,2.0,52.0,2
4936,Super built-up  Area,Malleshwaram,705.0,1.0,2.0,67.0,1
4937,Super built-up  Area,Malleshwaram,12000.0,7.0,3.0,2200.0,7
4938,Built-up  Area,Malleshwaram,2500.0,5.0,2.0,325.0,4
4939,Built-up  Area,Malleshwaram,2006.0,3.0,2.0,297.0,3
4940,Super built-up  Area,Malleshwaram,686.0,1.0,1.0,62.5,1
4941,Super built-up  Area,Malleshwaram,2475.0,4.0,3.0,332.0,3
4942,Super built-up  Area,Malleshwaram,2610.0,3.0,2.0,399.0,3
4943,Super built-up  Area,Malleshwaram,2475.0,4.0,3.0,320.0,3
4944,Super built-up  Area,Malleshwaram,900.0,2.0,1.0,95.0,2
4945,Super built-up  Area,Malleshwaram,1420.0,2.0,1.0,158.0,2
4946,Built-up  Area,Malleshwaram,2000.0,3.0,2.0,250.0,3
4947,Super built-up  Area,Malleshwaram,2215.0,3.0,1.0,275.0,3
4949,Super built-up  Area,Malleshwaram,2475.0,4.0,3.0,300.0,3
4950,Super built-up  Area,Malleshwaram,2345.0,2.0,2.0,293.0,3
4952,Super built-up  Area,Malleshwaram,2215.0,4.0,1.0,310.0,3
4953,Super built-up  Area,Malleshwaram,480.0,1.0,1.0,60.0,1
4954,Super built-up  Area,Malleshwaram,1290.0,2.0,1.0,120.0,2
4955,Super built-up  Area,Malleshwaram,2475.0,4.0,3.0,326.0,3
4956,Super built-up  Area,Malleshwaram,2476.0,3.0,3.0,337.0,3
4957,Built-up  Area,Malleshwaram,900.0,2.0,1.0,90.0,2
4959,Super built-up  Area,Malleshwaram,2050.0,4.0,2.0,270.0,3
4960,Built-up  Area,Malleshwaram,900.0,2.0,1.0,72.0,2
4961,Super built-up  Area,Malleshwaram,620.0,1.0,1.0,86.8,1
4962,Built-up  Area,Malleshwaram,600.0,1.0,0.0,68.0,2
4963,Super built-up  Area,Malleshwaram,2475.0,4.0,3.0,337.0,3
4964,Super built-up  Area,Malleshwaram,2215.0,3.0,2.0,275.0,3
4965,Super built-up  Area,Malleshwaram,2215.0,3.0,2.0,330.0,3
4967,Super built-up  Area,Malleshwaram,1020.0,2.0,1.0,80.0,2
4968,Plot  Area,Malleshwaram,600.0,1.0,0.0,90.0,2
4969,Built-up  Area,Malleshwaram,2200.0,3.0,2.0,275.0,3
4970,Super built-up  Area,Malleshwaram,2475.0,4.0,3.0,326.0,3
4971,Super built-up  Area,Malleshwaram,1500.0,2.0,2.0,140.0,2
4972,Super built-up  Area,Malleshwaram,2475.0,4.0,3.0,340.0,3
4973,Super built-up  Area,Malleshwaram,1400.0,2.0,1.0,190.0,2
4974,Super built-up  Area,Malleshwaram,2475.0,4.0,3.0,300.0,3
4975,Super built-up  Area,Malleshwaram,2400.0,3.0,2.0,380.0,3
4976,Built-up  Area,Malleshwaram,580.0,1.0,1.0,45.0,1
4977,Super built-up  Area,Malleshwaram,1410.0,2.0,3.0,125.0,2
4980,Super built-up  Area,Marathahalli,1220.0,2.0,1.0,57.0,2
4981,Super built-up  Area,Marathahalli,1200.0,2.0,2.0,52.0,2
4982,Super built-up  Area,Marathahalli,1200.0,2.0,2.0,60.0,2
4983,Super built-up  Area,Marathahalli,1933.0,3.0,2.0,140.0,3
4984,Super built-up  Area,Marathahalli,950.0,2.0,1.0,46.96,2
4985,Super built-up  Area,Marathahalli,1230.0,2.0,2.0,80.0,2
4986,Super built-up  Area,Marathahalli,3800.0,4.0,3.0,250.0,4
4987,Super built-up  Area,Marathahalli,1019.0,2.0,2.0,49.85,2
4988,Super built-up  Area,Marathahalli,1215.0,2.0,1.0,67.0,2
4989,Super built-up  Area,Marathahalli,2181.0,3.0,2.0,152.0,4
4990,Built-up  Area,Marathahalli,1170.0,2.0,3.0,53.0,2
4991,Super built-up  Area,Marathahalli,1019.0,2.0,2.0,49.86,2
4992,Super built-up  Area,Marathahalli,1325.0,2.0,2.0,71.55,2
4993,Super built-up  Area,Marathahalli,1220.0,2.0,1.0,56.5,2
4995,Super built-up  Area,Marathahalli,1152.0,2.0,1.0,56.0,2
4996,Super built-up  Area,Marathahalli,1610.0,3.0,1.0,90.0,3
4997,Super built-up  Area,Marathahalli,1146.0,2.0,1.0,70.0,2
4999,Super built-up  Area,Marathahalli,1469.0,3.0,1.0,89.0,3
5004,Super built-up  Area,Marathahalli,2519.0,5.0,2.0,185.0,4
5006,Super built-up  Area,Marathahalli,957.0,2.0,1.0,46.9,2
5007,Super built-up  Area,Marathahalli,1583.0,3.0,3.0,105.0,3
5008,Super built-up  Area,Marathahalli,2524.0,5.0,2.0,190.0,4
5012,Super built-up  Area,Marathahalli,1071.0,2.0,2.0,52.25,2
5013,Super built-up  Area,Marathahalli,1215.0,2.0,2.0,58.86,2
5014,Super built-up  Area,Marathahalli,1102.0,2.0,2.0,53.67,2
5015,Super built-up  Area,Marathahalli,1900.0,3.0,3.0,123.0,3
5016,Super built-up  Area,Marathahalli,1045.0,2.0,3.0,60.0,2
5018,Super built-up  Area,Marathahalli,1215.0,2.0,2.0,58.86,2
5019,Super built-up  Area,Marathahalli,1365.0,2.0,2.0,73.0,2
5024,Super built-up  Area,Marathahalli,1208.0,2.0,2.0,70.0,2
5025,Built-up  Area,Marathahalli,1325.0,1.0,1.0,92.0,2
5026,Built-up  Area,Marathahalli,1525.0,3.0,2.0,90.0,3
5027,Super built-up  Area,Marathahalli,1937.0,3.0,2.0,140.0,3
5028,Super built-up  Area,Marathahalli,1550.0,3.0,2.0,83.0,3
5029,Super built-up  Area,Marathahalli,1350.0,2.0,1.0,86.0,2
5030,Super built-up  Area,Marathahalli,957.0,2.0,1.0,47.0,2
5032,Super built-up  Area,Marathahalli,1230.0,2.0,1.0,57.0,2
5033,Super built-up  Area,Marathahalli,1200.0,2.0,2.0,58.0,2
5035,Super built-up  Area,Marathahalli,607.0,1.0,1.0,35.0,1
5036,Super built-up  Area,Marathahalli,1583.0,3.0,3.0,109.0,3
5037,Super built-up  Area,Marathahalli,1075.0,2.0,2.0,52.43,2
5038,Super built-up  Area,Marathahalli,1360.0,2.0,1.0,103.0,2
5039,Super built-up  Area,Marathahalli,1220.0,2.0,1.0,58.5,2
5040,Super built-up  Area,Marathahalli,950.0,2.0,1.0,45.68,2
5041,Super built-up  Area,Marathahalli,615.0,1.0,1.0,44.0,1
5042,Super built-up  Area,Marathahalli,1595.0,3.0,2.0,90.0,3
5043,Super built-up  Area,Marathahalli,1350.0,2.0,1.0,89.0,2
5044,Super built-up  Area,Marathahalli,1020.0,2.0,1.0,57.0,2
5045,Super built-up  Area,Marathahalli,1600.0,3.0,2.0,88.0,2
5046,Super built-up  Area,Marathahalli,780.0,1.0,1.0,55.0,1
5047,Super built-up  Area,Marathahalli,1710.0,3.0,2.0,100.0,3
5049,Super built-up  Area,Marathahalli,1358.0,2.0,1.0,81.0,2
5050,Super built-up  Area,Marathahalli,1205.0,2.0,1.0,75.0,2
5051,Super built-up  Area,Marathahalli,1730.0,3.0,3.0,110.0,3
5052,Super built-up  Area,Marathahalli,1583.0,3.0,3.0,115.0,3
5053,Built-up  Area,Marathahalli,1200.0,2.0,1.0,67.0,2
5054,Built-up  Area,Marathahalli,1095.0,2.0,1.0,60.0,2
5055,Super built-up  Area,Marathahalli,1060.0,2.0,1.0,48.0,2
5056,Built-up  Area,Marathahalli,1050.0,2.0,1.0,65.0,2
5057,Super built-up  Area,Marathahalli,1102.0,2.0,2.0,53.67,2
5058,Super built-up  Area,Marathahalli,1026.0,2.0,1.0,49.95,2
5061,Super built-up  Area,Marathahalli,1220.0,2.0,1.0,59.0,2
5062,Super built-up  Area,Marathahalli,881.0,2.0,1.0,48.06,2
5064,Super built-up  Area,Marathahalli,1710.0,3.0,2.0,100.0,3
5065,Super built-up  Area,Marathahalli,1680.0,3.0,3.0,105.0,3
5066,Super built-up  Area,Marathahalli,1910.0,3.0,3.0,119.0,3
5067,Super built-up  Area,Marathahalli,1602.0,2.0,2.0,104.0,2
5068,Super built-up  Area,Marathahalli,700.0,1.0,1.0,38.0,1
5069,Super built-up  Area,Marathahalli,1469.0,3.0,1.0,89.0,3
5071,Super built-up  Area,Marathahalli,1690.0,3.0,2.0,116.0,3
5072,Super built-up  Area,Marathahalli,1065.0,2.0,2.0,55.0,2
5073,Built-up  Area,Marathahalli,1693.0,3.0,2.0,125.0,3
5074,Super built-up  Area,Marathahalli,1693.0,3.0,1.0,125.0,3
5075,Super built-up  Area,Marathahalli,1196.0,2.0,2.0,57.9,2
5076,Super built-up  Area,Marathahalli,1595.0,3.0,2.0,88.0,3
5077,Super built-up  Area,Marathahalli,2122.0,3.0,2.0,125.0,3
5078,Super built-up  Area,Marathahalli,1730.0,3.0,2.0,115.0,3
5081,Super built-up  Area,Marathahalli,1125.0,2.0,3.0,55.0,2
5082,Super built-up  Area,Marathahalli,1950.0,3.0,2.0,115.0,3
5083,Built-up  Area,Marathahalli,1250.0,2.0,2.0,68.0,2
5084,Super built-up  Area,Marathahalli,1125.0,2.0,2.0,56.8,2
5085,Super built-up  Area,Marathahalli,1350.0,2.0,1.0,90.0,2
5086,Super built-up  Area,Marathahalli,1200.0,2.0,1.0,53.0,2
5087,Super built-up  Area,Marathahalli,2500.0,5.0,2.0,175.0,4
5088,Super built-up  Area,Marathahalli,957.0,2.0,1.0,47.0,2
5091,Built-up  Area,Marathahalli,1350.0,2.0,2.0,60.0,2
5092,Super built-up  Area,Marathahalli,3400.0,4.0,3.0,235.0,4
5093,Super built-up  Area,Marathahalli,1350.0,2.0,1.0,99.0,2
5095,Super built-up  Area,Marathahalli,1285.0,2.0,2.0,55.0,2
5096,Super built-up  Area,Marathahalli,2500.0,5.0,2.0,181.0,4
5097,Super built-up  Area,Marathahalli,3800.0,4.0,3.0,235.0,4
5098,Super built-up  Area,Marathahalli,3951.0,4.0,3.0,230.0,4
5099,Super built-up  Area,Marathahalli,1125.0,2.0,1.0,54.8,2
5100,Built-up  Area,Marathahalli,1700.0,3.0,2.0,126.0,3
5102,Super built-up  Area,Marathahalli,1270.0,2.0,3.0,73.0,2
5104,Super built-up  Area,Marathahalli,950.0,2.0,2.0,46.7,2
5105,Super built-up  Area,Marathahalli,1550.0,3.0,2.0,85.0,3
5106,Super built-up  Area,Marathahalli,1019.0,2.0,2.0,49.86,2
5107,Super built-up  Area,Marathahalli,1144.0,2.0,2.0,65.0,2
5108,Super built-up  Area,Marathahalli,1240.0,2.0,2.0,55.0,2
5109,Built-up  Area,Marathahalli,1100.0,2.0,2.0,75.0,1
5110,Built-up  Area,Marathahalli,1156.0,2.0,2.0,52.0,2
5111,Super built-up  Area,Marathahalli,2524.0,5.0,2.0,180.0,4
5112,Super built-up  Area,Marathahalli,1135.0,2.0,2.0,60.0,2
5113,Super built-up  Area,Marathahalli,1839.0,3.0,2.0,130.0,3
5114,Super built-up  Area,Marathahalli,1170.0,2.0,2.0,85.0,2
5115,Super built-up  Area,Marathahalli,1102.0,2.0,2.0,53.67,2
5116,Super built-up  Area,Marathahalli,1108.0,2.0,1.0,60.0,3
5117,Super built-up  Area,Marathahalli,1449.0,3.0,2.0,110.0,3
5118,Super built-up  Area,Marathahalli,1360.0,2.0,1.0,101.0,2
5119,Super built-up  Area,Marathahalli,1026.0,2.0,1.0,50.18,2
5122,Built-up  Area,Marathahalli,1270.0,2.0,2.0,80.0,2
5123,Super built-up  Area,Marathahalli,1100.0,2.0,1.0,50.0,2
5124,Super built-up  Area,Marathahalli,1196.0,2.0,2.0,57.95,2
5126,Built-up  Area,Marathahalli,1485.0,2.0,2.0,90.0,3
5127,Super built-up  Area,Marathahalli,1146.0,2.0,1.0,69.0,2
5128,Plot  Area,Margondanahalli,1090.0,2.0,0.0,58.0,2
5129,Plot  Area,Margondanahalli,1200.0,2.0,1.0,58.5,2
5130,Plot  Area,Margondanahalli,1200.0,2.0,0.0,67.0,2
5132,Plot  Area,Margondanahalli,1000.0,2.0,0.0,57.0,2
5134,Plot  Area,Margondanahalli,600.0,2.0,0.0,35.0,2
5135,Plot  Area,Margondanahalli,1200.0,2.0,0.0,69.0,2
